author,content,time,likes
@user-jy1md7vk1w,"China is such an incredible country:  massive, extremely diverse, rich with history and cultures. It is refreshing to see you show the country without politics or government things. To see the regular life is good. Most of us all over the planet have a regular life in general. We all eat, sleep, work, have family and friends. We all come from somewhere we grew up. We all have interests and hobbies, likes and dislikes, and feelings, thoughts and dreams. We are ALL much more alike than not.

Subbed :)",9个月前,247
@seonews4480,"I climbed Hua Shan on the night of 2009, starting at 11pm, reaching the top of the mountain at about 4am, and watching the beautiful sunrise, which is definitely an unforgettable memory.",9个月前（修改过）,1063
@CosminPanaete,Thanks!,8个月前,6
@tommysong8463,"I climb this mountain when I was in university. Back then, There is no cable tram or any safety harness except steel chains along the road. I start climb from bottom of mountain around 7:00 pm and reach south peak around 4:00am to watch sun rise.  It is most dangerous and rewarding hike I experience .",9个月前,241
@kcwc08,"Thanks for the sharing I visited HuaShan 32 years ago when I was 22 and also walked along the “most dangerous” / “most scary” trail - The Death Trail. You know what, at that moment, there was no safety harness for us. We were walking with bare hands. But I can still bring along my single lens reflex film camera with me and took many scary photos.",6个月前（修改过）,20
@cabbyw,It's absolutely mad for the danger you put yourself into climbing huashang.  I am glad you are back in one piece and  I bet you won't forget it the rest of your life !,9个月前,302
@panxiao7872,"A a Chinese, I never visited Huashan Plank Walk, this year I will plan a trip there, this video really gave some useful guidance for me, enjoy your stay in China, bro",9个月前,14
@FrankZhang-pj9nn,"This is the best mountain I even been, I was there 25 years ago and climbed from 9:00pm and reached the north peak at 5：00am next day without taking any cable car, then walk around to the other 4 peaks then went to the botton, finally when I reached my home, I took a rest for one week. there are millions and millions stairs there. if you took the cabe car, you have no experience about how crazy it is. it was definitely the best memories in my life. sometimes when I have a hard time, I always recalled I did climbed mountain Hua.  now I'm 48, I don't know if I can still do that again",9个月前（修改过）,561
@maxxlimited,"Another reason why it’s relatively empty is because it’s actually quite expensive. If you add up the bus rides, entrance tickets and gondola rides, I think it comes out to be something like 500rmb per person, which is a lot more expensive than other public attractions",9个月前,22
@Gohankudasai88,"Climbed it 30 years ago. No cable cart at the time, no harness. Was crazy",9个月前,463
@sunsetvera,Walking on one of the craziest hikes in the world... with one hand  holding the phone and filming ️. I am actually impressed ,6个月前,8
@randyholloway920,"Wow. This brings back memories!  It has also completely changed since I climbed Hua Shan in 2006.   We took a local bus from Xian.  We didn’t do the cable car, walked up over a few days time staying in guest houses.  The plank walk was closed due to rain, but still the trekking was amazing.",8个月前,4
@natearchibald5835,You are so brave. It would be really scary if I stood on it,9个月前,313
@mastersonogashira1796,"Been there, was an absolute blast. It literally make you feel like you are standing on top of the cloud",9个月前,13
@Konamakona,"In the summer Chinese people usually climbed the mountain during the night, the next morning first watch the sunrise, and then other activities, by noon going downhill…… I have been to the mountain in 1986 when there’s no cable cars, no protection gears while walking on the plank road…..",9个月前,45
@j_zhengli,my hands and feet got sweaty just by watching this,10天前,3
@smbk86,"The safety string was only installed in the last 10-20 years, imagine how it's like in the past",9个月前,96
@MommaKra,"Gotta admit, kind of jealous lol, I made it all the way to the door and then a storm rolled in, but I'm so happy that you were able to share your experience with us.  Cheer!",9个月前,29
@rongwu-sj9ws,You are so brave. Even just watching the video I felt so flustered.,9个月前,39
@Earthman99999,Thank you so much for posting this video of your hike on the Huashan Plank hike. Now I don't need to do it myself. I can just watch videos like yours from the comfort of my home. Even viewing these videos of the hike is scary.,9个月前,14
@jimmymurphy7789,It's great that you got a lifelong Pal to share the experience together ! ,3个月前,3
@moongazer_studio,The cloudy weather actually is better than sunny days to walk on the plank. At least you cannot see the stuff under the cliff...  Sunny days are more horrible,9个月前,41
@Qinlingmountains,The view on the mountain top is just so amazing. Huashan is one of the five most famous mountains in China. It's the steepest of them all and it's really worth the challenge. !,8个月前,4
@dukeiwashi2442,"Think about their ancestors do the same hike without morden equipments hundreds of years ago.
Then think about some of their ancestors who managed building the plank path first.
Dude...Thats wild...",9个月前（修改过）,140
@TRAVELADVENTURES-xm2vo,"You wouldn't know how crazy it was. It’s definitely some of the best memories of my life. Even when facing difficulties, you always remember that you’ve climbed before.",2个月前,3
@themodesttraveler745,you are the bravest youtuber  for sure . this is awesome bro,9个月前,109
@petrolhead4503,Big deal. I once told my wife to calm down which is 10 times more dangerous than this,3个月前,28
@icebaby6714,"I believe you are one of first westerners/YouTubers who managed to climb the most dangerous Hua mountain in China…what an incredible achievement! Well done, mate!",9个月前（修改过）,78
@andrethompson2034,"People who build things like this and skyscrapers, bridges are a rare breed. It takes nerves of steel to do these types of jobs.",8个月前,12
@孙悟空-x4p,"Maybe the bad weather is a blessing, if there were no cloudy clouds blocking your view, you would feel more horrible. But I still admire your courage, because even many Chinese people dare not go to the Huashan Plank Road.",9个月前,44
@KeithCastillo-kg4rl,"Thank-you for taking me on this breathtaking,  terrifyingly fabulous walk. I am 65 and disabled, so this adventure is out of my reach. When I was younger and able to get around better, I'd have done this in a heartbeat.
But, I'm very grateful that I can travel to such exotic and magnificent places by the kindness of young able bodies like yourself.",1个月前,4
@lizz7805,"i admire your adventurous spirit, no many people are dare to climb the most dangerous trail in the world.",9个月前,12
@kiwiadventurer,"With the help of your easy going personality and informative dialogue, that was absolutely riviting viewing. 10/10",8个月前,6
@marcc1830,"Dude, I am not afraid of height but those footage you have made me want to reconsiders my fears ",9个月前,125
@eNigma011,Everytime I see these videos I think of the workers who built them. They did it without most of the safety measures built in!🇨🇳,8天前,1
@LeHa-ct9ds,Feeling scary just by watching it. Imagine how ancient Chinese built these pathway. Great man-made project! Magnificent!,9个月前,61
@chooihoonlim4691,China is amazing. Love the mountains,9个月前,228
@rickr530,"You know when you climb a mountain, you deserve an ice cream.  Also when you don't climb a mountain, you deserve an ice cream.",9个月前,5
@SS-ko2lt,"The mountain being so high has its own ecosystem as many tall mountains do, thus it’s often enshrined in clouds and rains a lot.  When we were there we met some photographers stationed at the base of the mountain waiting for people up there to tell them that the clouds had lifted.  Hilarious.",9个月前,27
@lamhamzzzzzz,imagine the level of danger it took to carve out and lay this path in the first place. it's children's play in comparison to walk across after the work is done,9个月前,6
@方丈fc,Thanks for taking me to this freaking crazy scene. I stay in Hong Kong and didn't know such an adventurous place. China is definitely a must-go place in lifetime and welcome!,9个月前,45
@pamgypsyaries8049,Wooooo! Just watching made me dizzy! Congratulations for doing this!,13天前,2
@wellonshaw9350,You're very brave. Not everyone in China is brave enough to walk Mount Hua.,9个月前,15
@zipididodad,Great video.  The intro travel stuff leading to the plank walk was terrific and I'm sure useful to others headed there.  I'm going to go watch your other videos too.  The cinematography was perfect as was the narrative.  Thank you !,8个月前,6
@scott-hamilton,Now this is 100% something I’m up for! Love the adrenaline. Great video as always ,9个月前,121
@ubermenschbilly9001,"During our internship in Xian, my whole class went to climb this mountain. We started off at midnight at the hill foot and climbed for hours to catch a view of the sunrise. The mountain trail, lit by dim yellow lamps, was bustling with climbers and vendors. Time flies; it has been twenty years.",8个月前,12
@tinmingtam3714,I was shaking when I watched the video. I can't imagine what it would be like to face it (huashan) in real life. You are so brave.,9个月前,12
@flashcracker1,Thanks. One of the best presented and most enjoyable posts I have seen in a long time. You are really confident with your journey and I'm full of admiration. In my youth i too have taken on many great challenges but old age has dented my confidence. Im good with heights but this would be a real tester.,1个月前,1
@xz1891,14:31 the cliff printing house is the coolest thing in the world,9个月前,93
@naiman4535,"Thanks mite!  Up until now, I had only seen short video clips of the plank walk, but your excellent video took me through the whole experience!  Thanks again!",1个月前,0
@Aperson-f2e,"I did that 40 years ago, and I cried after the gruesome hike.",9个月前,33
@greenanaconda8134,"00:02 Huashan Plank Walk is considered the most dangerous hike in the world.
02:02 Preparing for the hike and getting food before ascending Huashan mountain
04:18 Excited but nervous about the hike
06:39 Hiking to West Peak with challenging uphill terrain and language barrier.
 Preparing for the dangerous plank walk
 Heading towards the plank walk, one of the world's most dangerous hikes.
 Hiking the dangerous Huashan Plank Walk in China
 Survived China's Huashan Plank Walk",9个月前,4
@Arhenius100,You are very brave to go hiking in Huashan! It looked so dangerous and scary. Glad that you enjoyed it and you made it back safely !,9个月前,83
@backpackpepelon3867,"This man have gained some notoriety in bilibili, but not in a bad way. He actually filmed it with phone in 1 hand, while others is holding to the rope with both hands, especially when stepping down those steel beams ladder. ",9个月前,2
@SCIFIGAMESFANS,"15 Avatar Mountains in China
Zhang jia jie  （张家界）   湖南省 Hunan Province
Shu nan Bamboo sea  （蜀南竹海）   四川省 Si chuan Province
Chuan xi Bamboo sea  （川西竹海）  四川省 Si chuan Province
Jiu zhai gou（九寨沟）四川省 Si chuan Province
Nan shan Bamboo sea （南山竹海）  江苏省 Jiang su Province 
YI xing  Bamboo sea  （宜兴竹海）  江苏省省 Jiang su Province
Ge tu he  （格凸河）  贵州省 gui zhou Province
Gui ling   （桂林）  广西省 Guang xi Province
Ba ma   （巴马）   广西省 Guang xi Province
Qi xian ling  Sanya  （七仙岭）  海南省 Hai nan Province
San qing shan （三清山）江西省 jiang xi Province
Nan shan Bamboo sea （南山竹海）江苏省 jiang su Province
Huang shan （黄山）安徽省 An hui Province
Baizhangji Scenic Area  （  百丈漈 ） 浙江省 Jiang su Province
wu gong mountains  （武功山 ） 江西省  jiang xi Province",9个月前,19
@joshvisscher4120,oh I did that hike about 10 years ago. It was alright. You seem way more prepared than me. I did it in jeans and brought a bottle of water. good stuff!,9个月前,7
@Bear-en6dt,"It is very rare for foreigners to find the opportunity to travel to Mount Huashan. Btw,  there is always wireless internet on this mountain, tourist area.    A nice video bro.",9个月前,10
@yilunbai,Where’s your girl why isn’t she coming with you on this epic journey?,9个月前,50
@tante501,Not him having to say 'it's just me in here' everytime .Great video btw,6个月前,1
@9999-h7f,"Not only you can finish the hike safely you can also make a very nice video at the same time, very impressive! Well done!!",9个月前,9
@kruxxme5372,"Looks absolutely beautiful up there, but I would NOT be doing that hike! Well done.",5个月前,3
@Lulu-r2h,"I think you can open an account on Chinese social media（such as bilibili) ，and upload your videos of traveling in China, because the quality of your videos has surpassed many Chinese youtubers, and I think it will make you very popular in China。",9个月前,57
@sama-sc3vy,"that's literaly breath taking, i have to hold my breath when watching your video",3个月前,0
@留岛不留人-r9m,"I'm totally afraid of heights, this video looks really disturbing",9个月前,87
,Amazing video bro definitely doing it again soon ,9个月前,4
@deanzaZZR,I climbed Hua Shan the summer of 1990 before any cable cars or crowds. My GF and I spent the night at the top in a temple with some funny Daoist priests (I speak Chinese at an advanced level). Was there a plank walk at the time? I doubt it but opportunities certainly existed for falling into the void.,9个月前,47
@Katie777wuzhere,"It’s such a shame that it was so cloudy and you couldn’t see over the ledge. As scary as it was, I’m sure that if you could actually look down to see how high up you was, it would have been absolutely terrifying. Thanks for sharing you adventure.",9个月前,3
@longbluce6163,"Friend, your video has gained more than one million plays and more than 100,000 likes on China's social media bilibili.If you can open an account, you will gain a lot of China fans.",9个月前,70
@Zoey_YZ,"hahaha in the restaurant, the Chinese guy said” 真能吃“ meaning: you really eat a lot ",8个月前,2
@RyanandSaz-TravelLife,Awesome bro! Still can’t believe you did it! Not a chance I could attempt that!  ,9个月前,10
@zhichengzhao5907,High respect to your courage! ,9个月前,2
@GOAT_MESSI53,"China is truly amazing, with a wide range of cultural, architectural, culinary, and natural beauty options.",9个月前,31
@cheng-q3s,"I am speechless.  How much courage and strength is required to finish such dangerous walk.I visited Huashan some years ago, did some hiking, amazing experience.",9个月前,7
@KatherineRivera-zk2jb,"Great adventure ,I love the story and show how much you enjoy the experience no matter what, you are so brave to do this ,kisses from Puerto Rico ",2个月前（修改过）,2
@DailyLifeFacts2511,Amazing,9个月前,50
@Hari-888,"Man, this is one of the most incredible things i've ever seen",2个月前,2
@melissast.pierre310,That’s terrifying! Props to you for doing it.,2个月前,2
@syncmaster915n,"10:53 I think people got up early because they want to hike to the East Peak to watch the sun rise. The best strategy to hike Mount Huashan is 1) get to the West Peak by noon of Day 1, check in a hostel, do the plank walk if weather permits, watch sunset if you finish the plank walk early, also weather permits. 2) Get up early on Day 2 and hike to the East Peak to watch the sun rise, then hike to the South Peak (the highest peak) to complete the slam. This takes a lot of stamina and luck because you can't control the time. Additional itinerary for the diehards: there are 72.5 caves around the Huashan Park. Check them all out if you like ",9个月前,27
@adicahya,"Can't imagine how they build the stairs, the cable rope and everything... Must be even scarier",9个月前,23
@ytsai6242,"I visited Mount Hua in April this year. I arrived a day early and stayed at a hotel at the foot of the mountain. The next morning, I took a cable car to the North Peak and hiked through the North, Middle, East, and South Peaks, finally descending via cable car from the West Peak. The entire hike took nearly 12 hours. I didn't get to try the Changkong Plank Trail because I went too late, and the line was too long. However, I did get to experience the Yaozi Fanshen, which was equally thrilling despite the half-hour wait.

One thing puzzled me: why did you only have one safety harness? For the Yaozi Fanshen, each person is equipped with two safety harnesses. Whenever you need to change ropes, you must keep one harness attached to the rope at all times. You only unclip one harness at a time to attach it to the new rope before unclipping the other. This way, you are always secured by at least one harness. Seeing you with just one harness seemed very dangerous to me. Nevertheless, I’m glad you completed the challenge safely. Anyone who conquers the Changkong Plank Trail or Yaozi Fanshen is truly a brave soul.",9个月前,7
@laviajerastral,"Amazing video and infos, thank you!!!",2个月前,2
@jameszhang5377,"14:35 I just can’t watch this video anymore from here but it’s a great one, thank you for saving me be there ",9个月前,4
@chaomingzhang1781,"You are lucky to have it in a foggy and cloudy day, that makes it not looking too scary. I went through there in a crystal clear sunny day. It was really scary!!",3个月前,1
@yongxu3237,Huashan is well worth a visit and you are very brave.,9个月前,13
@lorenzot9969,Thanks for sharing this incredible experience from the other side of the world!,8个月前,1
@daveke4024,"Even on a foggy day, it looks scary",9个月前,40
@awangtaiepalat7308,"""World's DEADLIEST Hike. So i am going to try to hike it.""  Natural Selection at its best!",6个月前,1
